DBN,School Name,Location Type,"Total Guidance Counselors (GC) & Social Workers (SW)


(includes GCs, SWs, ATRs, School Response Clinicians, High Needs Counselors, High Need SWs, Single Shepherds, Bridging the Gap SWs)",Total GC,Total SW,Full-time GC,Full-Time SW,Part-time GC,Part-Time SW,Bilingual GC,Bilingual SW,GC Serving More than One Location,SW Serving More than One Location,High Needs GC,High Needs SW,Bridging the Gap,School Response Clinician,Single Shepherd,Learning to Work,School Psychologist Providing Mandated Counseling,CBO Partner for Mental Health Support,2020-21 SY Enrollment,Ratio GC & SW,Ratio GC Only,Ratio SW Only
19K935,M.S. 935,Junior High-Intermediate-Middle,New school and small enrollment,0,0,0,0,0,0,0,0,0,0,false,no,false,false,false,false,false,no,97,na - see note in column D,na - see note in column D,na - see note in column D
01M015,P.S. 015 Roberto Clemente,Elementary,1.6,0,1.6,0,1.6,0,0,0,0,0,0,false,no,false,false,false,false,false,"P2L: Pathways to Leadership, Inc.",193,121,193,121
01M019,P.S. 019 Asher Levy,Elementary,1.4,1,0.4,1,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,212,151,212,212
01M020,P.S. 020 Anna Silver,Elementary,2.0,1,1,1,1,0,0,0,0,0,0,false,no,false,false,false,false,false,no,412,206,412,412
01M034,P.S. 034 Franklin D. Roosevelt,K-8,2.0,2,0,2,0,0,0,0,0,0,0,false,no,false,false,false,false,false,no,273,137,137,273
01M063,The STAR Academy - P.S.63,Elementary,1.3,1,0.3,1,0.3,0,0,0,1,0,0,false,no,false,false,false,false,false,no,208,160,208,208
01M064,P.S. 064 Robert Simon,Elementary,1.3,1,0.3,1,0.3,0,0,0,0,0,0,false,no,false,false,false,false,false,no,220,165,220,220
01M110,P.S. 110 Florence Nightingale,Elementary,1.4,1,0.4,1,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,373,266,373,373
01M134,P.S. 134 Henrietta Szold,Elementary,2.0,1,1,1,1,0,0,0,1,0,0,false,no,false,false,false,false,false,no,217,109,217,217
01M140,P.S. 140 Nathan Straus,K-8,2.0,2,0,2,0,0,0,0,0,0,0,false,no,false,false,false,false,false,no,358,179,179,358
01M142,P.S. 142 Amalia Castro,Elementary,2.0,0,2,0,2,0,0,0,1,0,0,false,no,false,false,false,false,false,no,317,159,317,159
01M184,P.S. 184 Shuang Wen,K-8,3.4,2,1.4,2,1.4,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,721,212,361,515
01M188,P.S. 188 The Island School,K-8,2.4,2,0.4,2,0.4,0,0,0,0,0,0,false,no,false,false,false,false,false,Henry Street Settlement,370,154,185,370
01M292,Orchard Collegiate Academy,High school,1.0,1,0,1,0,0,0,0,0,0,0,false,no,false,false,false,false,false,no,296,296,296,296
01M315,The East Village Community School,Elementary,2.6,1,1.6,1,1.2,0,0.4,0,0,0,0.4,false,ARPA funded,false,false,false,false,false,no,297,114,297,186
01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,2.0,1,1,1,1,0,0,0,0,0,0,false,no,false,false,false,false,false,no,207,104,207,207
01M361,The Children's Workshop School,Elementary,2.0,0,2,0,1.4,0,0.6,0,0,0,0.6,false,no,false,false,false,false,false,no,304,152,304,152
01M363,Neighborhood School,Elementary,2.3,1,1.3,1,1.3,0,0,0,0,0,0,false,no,false,false,false,false,false,no,270,117,270,208
01M364,Earth School,Elementary,1.3,1,0.3,1,0.3,0,0,0,0,0,0,false,no,false,false,false,false,false,no,291,218,291,291
01M378,School for Global Leaders,Junior High-Intermediate-Middle,1.0,1,0,1,0,0,0,0,0,0,0,false,no,false,true,false,false,false,no,185,185,185,185
01M448,University Neighborhood High School,High school,3.2,2,1.2,2,1.2,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,570,178,285,475
01M450,East Side Community School,Secondary School,4.0,1,3,1,3,0,0,0,1,0,0,false,no,false,false,false,false,false,no,681,170,681,227
01M458,Forsyth Satellite Academy,High school,3.0,1,2,1,2,0,0,0,0,0,0,false,no,false,false,false,true,false,no,149,50,149,75
01M515,Lower East Side Preparatory High School,High school,4.0,3,1,3,1,0,0,1,0,0,0,false,ARPA funded,false,false,false,true,false,no,481,120,160,481
01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,7.6,6,1.6,6,1.6,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,"1,791",236,299,"1,119"
01M650,Cascades High School,High school,2.0,1,1,1,1,0,0,1,0,0,0,false,no,false,false,false,true,false,no,167,84,167,167
01M696,Bard High School Early College,High school,5.0,4,1,4,1,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,636,127,159,636
01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,1.3,1,0.3,1,0.3,0,0,0,0,0,0,false,no,false,false,false,false,false,no,354,266,354,354
02M001,P.S. 001 Alfred E. Smith,Elementary,1.4,0,1.4,0,1.4,0,0,0,0,0,0,false,no,false,false,false,false,false,no,233,166,233,166
02M002,P.S. 002 Meyer London,Elementary,2.6,1,1.6,1,1.6,0,0,0,0,0,0,false,ARPA funded,false,false,false,false,false,no,421,162,421,263
