Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships,Two-Way Communication
01M015 - P.S. 015 Roberto Clemente,60.0,100.0,97.0,98.0,87.0,98.0,96.0,,100.0
01M019 - P.S. 019 Asher Levy,,,96.0,98.0,94.0,97.0,97.0,,
01M020 - P.S. 020 Anna Silver,60.0,100.0,96.0,95.0,90.0,94.0,95.0,100.0,100.0
01M034 - P.S. 034 Franklin D. Roosevelt,,,95.0,97.0,91.0,96.0,96.0,,
01M063 - The STAR Academy - P.S.63,56.0,100.0,97.0,96.0,94.0,96.0,97.0,100.0,89.0
01M064 - P.S. 064 Robert Simon,,,100.0,94.0,86.0,100.0,100.0,,
01M110 - P.S. 110 Florence Nightingale,,,98.0,98.0,91.0,98.0,97.0,,
01M134 - P.S. 134 Henrietta Szold,,,100.0,100.0,92.0,100.0,100.0,,
01M140 - P.S. 140 Nathan Straus,,,78.0,93.0,82.0,88.0,87.0,,
01M142 - P.S. 142 Amalia Castro,92.0,99.0,98.0,98.0,94.0,98.0,98.0,97.0,97.0
01M184 - P.S. 184m Shuang Wen,73.0,100.0,97.0,96.0,87.0,98.0,97.0,100.0,100.0
01M188 - P.S. 188 The Island School,,,99.0,99.0,98.0,99.0,99.0,,
01M292 - Orchard Collegiate Academy,,,95.0,95.0,82.0,98.0,96.0,,
01M315 - The East Village Community School,83.0,98.0,95.0,97.0,93.0,95.0,97.0,100.0,100.0
01M332 - University Neighborhood Middle School,,,98.0,95.0,90.0,99.0,99.0,,
01M361 - The Children's Workshop School,50.0,75.0,89.0,92.0,87.0,89.0,94.0,83.0,83.0
01M363 - Neighborhood School,63.0,95.0,90.0,91.0,91.0,88.0,90.0,100.0,89.0
01M364 - Earth School,40.0,90.0,88.0,91.0,92.0,92.0,97.0,80.0,100.0
01M378 - School for Global Leaders,,,84.0,97.0,82.0,77.0,94.0,,
01M448 - University Neighborhood High School,,,96.0,94.0,64.0,98.0,96.0,,
01M450 - East Side Community School,,,98.0,96.0,92.0,99.0,97.0,,
01M515 - Lower East Side Preparatory High School,,,100.0,91.0,71.0,100.0,95.0,,
"01M539 - New Explorations into Science, Technology and Math High School",,,95.0,95.0,88.0,96.0,96.0,,
01M650 - Cascades High School,,,100.0,100.0,84.0,100.0,100.0,,
01M696 - Bard High School Early College,,,98.0,96.0,78.0,98.0,96.0,,
01M839 - Tompkins Square Middle School,,,97.0,95.0,90.0,97.0,97.0,,
02M001 - P.S. 001 Alfred E. Smith,64.0,82.0,96.0,97.0,87.0,99.0,97.0,82.0,91.0
02M002 - P.S. 002 Meyer London,63.0,100.0,100.0,99.0,90.0,100.0,100.0,100.0,100.0
02M003 - P.S. 003 Charrette School,83.0,83.0,73.0,93.0,94.0,71.0,95.0,100.0,83.0
02M006 - P.S. 006 Lillie D. Blake,53.0,84.0,89.0,94.0,95.0,95.0,96.0,87.0,87.0
02M011 - P.S. 011: The Sarah J. Garnet Elementary School,,,95.0,94.0,95.0,95.0,95.0,,
02M033 - P.S. 033 Chelsea Prep,,,94.0,92.0,90.0,93.0,94.0,,
02M040 - P.S. 040 Augustus Saint-Gaudens,,,93.0,95.0,93.0,95.0,94.0,,
02M041 - P.S. 041 Greenwich Village,,,88.0,95.0,93.0,90.0,92.0,,
02M042 - P.S. 042 Benjamin Altman,80.0,100.0,98.0,99.0,96.0,99.0,99.0,100.0,100.0
02M047 - 47 The American Sign Language and English Secondary School,,,90.0,96.0,73.0,92.0,95.0,,
02M051 - P.S. 051 Elias Howe,75.0,88.0,93.0,98.0,89.0,90.0,99.0,100.0,75.0
02M059 - P.S. 059 Beekman Hill International,,,91.0,93.0,91.0,90.0,94.0,,
02M077 - P.S. 77 Lower Lab School,,,81.0,94.0,96.0,82.0,97.0,,
02M089 - P.S. 89,,,92.0,96.0,95.0,98.0,98.0,,
02M104 - J.H.S. 104 Simon Baruch,,,97.0,93.0,83.0,97.0,95.0,,
02M111 - P.S. 111 Adolph S. Ochs,,,92.0,95.0,92.0,93.0,95.0,,
02M114 - East Side Middle School,,,97.0,94.0,90.0,98.0,95.0,,
02M116 - P.S. 116 Mary Lindley Murray,,,82.0,92.0,92.0,85.0,95.0,,
02M124 - P.S. 124 Yung Wing,76.0,100.0,97.0,97.0,91.0,98.0,97.0,97.0,97.0
02M126 - P.S. 126 Jacob August Riis,,,95.0,98.0,87.0,96.0,97.0,,
02M130 - P.S. 130 Hernando De Soto,95.0,100.0,99.0,98.0,91.0,99.0,97.0,100.0,100.0
02M131 - M.S. 131,,,94.0,93.0,72.0,95.0,91.0,,
02M135 - The Urban Assembly School for Emergency Management,,,95.0,97.0,86.0,96.0,95.0,,
02M139 - Stephen T. Mather Building Arts & Craftsmanship High School,,,100.0,98.0,89.0,100.0,98.0,,
