Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships
01M015 - P.S. 015 Roberto Clemente,70.0,100.0,90.0,93.0,86.0,92.0,93.0,89.0
01M019 - P.S. 019 Asher Levy,,,72.0,91.0,89.0,71.0,86.0,
01M020 - P.S. 020 Anna Silver,71.0,95.0,98.0,97.0,91.0,97.0,98.0,100.0
01M034 - P.S. 034 Franklin D. Roosevelt,100.0,100.0,95.0,92.0,82.0,91.0,89.0,100.0
01M063 - The STAR Academy - P.S.63,70.0,91.0,97.0,96.0,95.0,97.0,96.0,91.0
01M064 - P.S. 064 Robert Simon,88.0,100.0,92.0,94.0,90.0,90.0,93.0,100.0
01M110 - P.S. 110 Florence Nightingale,80.0,100.0,95.0,95.0,92.0,96.0,98.0,100.0
01M134 - P.S. 134 Henrietta Szold,91.0,100.0,97.0,96.0,91.0,97.0,97.0,100.0
01M140 - P.S. 140 Nathan Straus,100.0,100.0,83.0,88.0,86.0,85.0,91.0,100.0
01M142 - P.S. 142 Amalia Castro,93.0,99.0,99.0,100.0,95.0,100.0,100.0,100.0
01M184 - P.S. 184m Shuang Wen,88.0,98.0,99.0,97.0,92.0,99.0,98.0,100.0
01M188 - P.S. 188 The Island School,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
01M292 - Orchard Collegiate Academy,,,91.0,89.0,76.0,93.0,88.0,
01M315 - The East Village Community School,56.0,94.0,98.0,98.0,97.0,99.0,98.0,100.0
01M332 - University Neighborhood Middle School,,,94.0,93.0,76.0,94.0,93.0,
01M361 - The Children's Workshop School,67.0,94.0,93.0,96.0,94.0,94.0,97.0,100.0
01M363 - Neighborhood School,70.0,93.0,92.0,95.0,92.0,91.0,94.0,95.0
01M364 - Earth School,64.0,100.0,91.0,97.0,97.0,92.0,98.0,100.0
01M378 - School for Global Leaders,,,94.0,86.0,75.0,91.0,88.0,
01M448 - University Neighborhood High School,,,97.0,95.0,65.0,97.0,95.0,
01M450 - East Side Community School,,,99.0,97.0,92.0,99.0,96.0,
01M458 - Forsyth Satellite Academy,,,100.0,100.0,81.0,100.0,100.0,
01M515 - Lower East Side Preparatory High School,,,97.0,93.0,72.0,96.0,95.0,
"01M539 - New Explorations into Science, Technology and Math High School",,,97.0,96.0,87.0,98.0,97.0,
01M696 - Bard High School Early College,,,94.0,92.0,76.0,96.0,92.0,
01M839 - Tompkins Square Middle School,,,95.0,93.0,84.0,95.0,92.0,
02M001 - P.S. 001 Alfred E. Smith,79.0,93.0,98.0,95.0,90.0,95.0,96.0,93.0
02M002 - P.S. 002 Meyer London,89.0,100.0,96.0,99.0,94.0,97.0,98.0,100.0
02M003 - P.S. 003 Charrette School,47.0,97.0,78.0,95.0,91.0,80.0,96.0,100.0
02M006 - P.S. 006 Lillie D. Blake,85.0,97.0,90.0,95.0,97.0,95.0,96.0,100.0
02M011 - P.S. 011: The Sarah J. Garnet Elementary School,,,96.0,96.0,95.0,97.0,98.0,
02M033 - P.S. 033 Chelsea Prep,80.0,90.0,94.0,96.0,94.0,96.0,97.0,100.0
02M040 - P.S. 040 Augustus Saint-Gaudens,50.0,83.0,96.0,94.0,93.0,98.0,96.0,100.0
02M041 - P.S. 041 Greenwich Village,55.0,97.0,90.0,96.0,95.0,92.0,96.0,100.0
02M042 - P.S. 042 Benjamin Altman,67.0,96.0,99.0,98.0,94.0,99.0,98.0,100.0
02M047 - 47 The American Sign Language and English Secondary School,,,90.0,93.0,81.0,92.0,91.0,
02M051 - P.S. 051 Elias Howe,68.0,98.0,93.0,93.0,90.0,92.0,93.0,100.0
02M059 - P.S. 059 Beekman Hill International,,,91.0,95.0,92.0,95.0,95.0,
02M077 - P.S. 77 Lower Lab School,,,88.0,94.0,93.0,87.0,93.0,
02M089 - P.S. 89,94.0,100.0,92.0,95.0,93.0,96.0,96.0,100.0
02M104 - J.H.S. 104 Simon Baruch,,,93.0,91.0,80.0,95.0,92.0,
02M111 - P.S. 111 Adolph S. Ochs,50.0,100.0,93.0,96.0,94.0,94.0,97.0,100.0
02M114 - East Side Middle School,,,95.0,96.0,93.0,97.0,97.0,
02M116 - P.S. 116 Mary Lindley Murray,58.0,96.0,89.0,93.0,93.0,90.0,95.0,100.0
02M124 - P.S. 124 Yung Wing,62.0,91.0,98.0,97.0,92.0,98.0,98.0,95.0
02M126 - P.S. 126 Jacob August Riis,100.0,100.0,94.0,96.0,87.0,96.0,97.0,100.0
02M130 - P.S. 130 Hernando De Soto,62.0,100.0,98.0,98.0,91.0,99.0,99.0,100.0
02M131 - M.S. 131,,,88.0,86.0,76.0,91.0,87.0,
02M135 - The Urban Assembly School for Emergency Management,,,86.0,90.0,74.0,89.0,89.0,
02M139 - Stephen T. Mather Building Arts & Craftsmanship High School,,,93.0,91.0,88.0,97.0,91.0,
02M150 - P.S. 150,79.0,100.0,96.0,95.0,94.0,98.0,94.0,100.0
02M151 - Yorkville Community School,55.0,93.0,91.0,95.0,91.0,93.0,94.0,100.0
02M158 - P.S. 158 Bayard Taylor,67.0,100.0,91.0,96.0,93.0,95.0,97.0,100.0
02M167 - J.H.S. 167 Robert F. Wagner,,,86.0,87.0,82.0,90.0,89.0,
02M177 - Yorkville East Middle School,,,95.0,95.0,91.0,96.0,94.0,
02M183 - P.S. 183 Robert L. Stevenson,86.0,94.0,98.0,97.0,93.0,98.0,96.0,94.0
02M198 - P.S. 198 Isador E. Ida Straus,61.0,94.0,95.0,95.0,94.0,97.0,97.0,100.0
02M212 - P.S. 212 Midtown West,68.0,97.0,96.0,96.0,91.0,97.0,96.0,97.0
02M217 - P.S./I.S. 217 Roosevelt Island,68.0,100.0,87.0,94.0,93.0,91.0,94.0,100.0
02M225 - Ella Baker School,50.0,95.0,90.0,94.0,95.0,89.0,96.0,100.0
02M234 - P.S. 234 Independence School,,,92.0,96.0,91.0,94.0,96.0,
02M255 - M.S. 255 Salk School of Science,,,95.0,94.0,87.0,97.0,94.0,
02M260 - The Clinton School,,,92.0,91.0,82.0,95.0,89.0,
"02M267 - East Side Elementary School, PS 267",,,83.0,92.0,93.0,87.0,93.0,
02M276 - Battery Park City School,67.0,93.0,95.0,94.0,93.0,96.0,96.0,100.0
02M280 - Manhattan Early College School for Advertising,,,89.0,86.0,79.0,90.0,85.0,
02M281 - The River School,67.0,98.0,93.0,97.0,93.0,96.0,97.0,94.0
02M282 - Urban Assembly Maker Academy,,,97.0,90.0,83.0,94.0,92.0,
02M288 - Food and Finance High School,,,90.0,89.0,67.0,93.0,90.0,
02M289 - I.S. 289,,,92.0,94.0,81.0,96.0,92.0,
02M290 - P.S. 290 Manhattan New School,58.0,91.0,91.0,93.0,95.0,91.0,95.0,96.0
02M294 - Essex Street Academy,,,96.0,96.0,83.0,97.0,95.0,
02M296 - High School of Hospitality Management,,,93.0,97.0,63.0,100.0,96.0,
02M297 - M.S. 297,,,81.0,84.0,81.0,78.0,86.0,
02M298 - Pace High School,,,93.0,88.0,80.0,95.0,86.0,
"02M300 - Urban Assembly School of Design and Construction, The",,,96.0,92.0,68.0,97.0,98.0,
"02M303 - Facing History School, The",,,97.0,96.0,77.0,97.0,97.0,
"02M305 - Urban Assembly Academy of Government and Law, The",,,98.0,98.0,82.0,100.0,98.0,
02M308 - Lower Manhattan Arts Academy,,,86.0,93.0,70.0,83.0,91.0,
02M312 - New York City Lab Middle School for Collaborative Studies,,,94.0,92.0,81.0,97.0,92.0,
"02M313 - James Baldwin School, The: A School for Expeditionary Learning",,,100.0,99.0,80.0,100.0,97.0,
"02M316 - Urban Assembly School of Business for Young Women, the",,,95.0,95.0,74.0,99.0,96.0,
02M340 - Sixth Avenue Elementary School,50.0,90.0,90.0,94.0,93.0,94.0,95.0,97.0
02M343 - The Peck Slip School,32.0,75.0,91.0,94.0,89.0,93.0,94.0,83.0
02M347 - The 47 American Sign Language & English Lower School,90.0,90.0,89.0,88.0,83.0,93.0,87.0,100.0
02M374 - Gramercy Arts High School,,,92.0,91.0,76.0,92.0,92.0,
02M376 - NYC iSchool,,,95.0,94.0,83.0,96.0,94.0,
02M392 - Manhattan Business Academy,,,91.0,93.0,72.0,93.0,91.0,
02M393 - Business Of Sports School,,,93.0,91.0,70.0,97.0,91.0,
02M394 - Emma Lazarus High School,,,98.0,97.0,72.0,98.0,98.0,
02M397 - Spruce Street School,,,83.0,92.0,87.0,90.0,94.0,
02M400 - High School for Environmental Studies,,,87.0,90.0,76.0,91.0,93.0,
02M407 - Institute for Collaborative Education,,,91.0,91.0,88.0,92.0,89.0,
02M408 - Professional Performing Arts High School,,,86.0,86.0,80.0,89.0,89.0,
02M411 - Baruch College Campus High School,,,94.0,93.0,70.0,95.0,95.0,
02M412 - N.Y.C. Lab School for Collaborative Studies,,,97.0,97.0,84.0,98.0,96.0,
02M413 - School of the Future High School,,,81.0,86.0,76.0,86.0,88.0,
02M414 - N.Y.C. Museum School,,,94.0,90.0,75.0,94.0,86.0,
02M416 - Eleanor Roosevelt High School,,,96.0,93.0,76.0,98.0,95.0,
02M418 - Millennium High School,,,92.0,94.0,72.0,95.0,94.0,
02M419 - Landmark High School,,,98.0,95.0,86.0,100.0,95.0,
02M420 - High School for Health Professions and Human Services,,,90.0,88.0,60.0,91.0,89.0,
02M422 - Quest to Learn,,,87.0,86.0,71.0,88.0,88.0,
02M425 - Leadership and Public Service High School,,,88.0,89.0,77.0,91.0,89.0,
02M427 - Manhattan Academy For Arts & Language,,,95.0,91.0,72.0,92.0,94.0,
02M432 - Murray Hill Academy,,,93.0,91.0,76.0,94.0,93.0,
02M437 - Hudson High School of Learning Technologies,,,99.0,95.0,77.0,98.0,97.0,
02M438 - International High School at Union Square,,,94.0,93.0,71.0,98.0,96.0,
02M439 - Manhattan Village Academy,,,93.0,93.0,85.0,96.0,95.0,
"02M442 - Ballet Tech, NYC Public School for Dance",,,91.0,95.0,88.0,98.0,97.0,
02M449 - Vanguard High School,,,91.0,92.0,78.0,95.0,96.0,
02M459 - Manhattan International High School,,,93.0,93.0,70.0,98.0,95.0,
02M475 - Stuyvesant High School,,,96.0,93.0,69.0,97.0,93.0,
02M489 - High School of Economics and Finance,,,91.0,91.0,66.0,92.0,92.0,
