Name,Academic Press,Course Clarity,Cultural Awareness and Inclusive Classroom Instruction,Guidance,Personal Attention and Support,Preventing Bullying,Safety,Student-Teacher Trust
01M034 - P.S. 034 Franklin D. Roosevelt,60.0,71.0,89.0,84.0,69.0,64.0,86.0,89.0
01M140 - P.S. 140 Nathan Straus,67.0,84.0,95.0,99.0,85.0,77.0,96.0,94.0
01M184 - P.S. 184m Shuang Wen,65.0,79.0,88.0,90.0,68.0,85.0,88.0,83.0
01M188 - P.S. 188 The Island School,99.0,100.0,99.0,100.0,100.0,98.0,99.0,100.0
01M292 - Orchard Collegiate Academy,68.0,74.0,97.0,91.0,67.0,88.0,91.0,90.0
01M332 - University Neighborhood Middle School,68.0,78.0,92.0,89.0,76.0,85.0,93.0,89.0
01M378 - School for Global Leaders,66.0,83.0,92.0,82.0,75.0,86.0,84.0,84.0
01M448 - University Neighborhood High School,73.0,83.0,96.0,91.0,82.0,93.0,93.0,94.0
01M450 - East Side Community School,78.0,86.0,95.0,91.0,81.0,88.0,95.0,91.0
01M515 - Lower East Side Preparatory High School,72.0,83.0,96.0,96.0,83.0,88.0,90.0,97.0
"01M539 - New Explorations into Science, Technology and Math High School",76.0,79.0,90.0,79.0,66.0,86.0,89.0,86.0
01M696 - Bard High School Early College,88.0,84.0,93.0,87.0,71.0,89.0,93.0,90.0
01M839 - Tompkins Square Middle School,73.0,80.0,93.0,93.0,74.0,88.0,91.0,87.0
02M047 - 47 The American Sign Language and English Secondary School,67.0,73.0,94.0,85.0,71.0,93.0,90.0,91.0
02M104 - J.H.S. 104 Simon Baruch,64.0,80.0,90.0,86.0,68.0,84.0,90.0,86.0
02M114 - East Side Middle School,76.0,85.0,89.0,73.0,71.0,94.0,95.0,85.0
02M126 - P.S. 126 Jacob August Riis,69.0,86.0,94.0,92.0,72.0,93.0,90.0,89.0
02M131 - M.S. 131,67.0,76.0,89.0,89.0,62.0,81.0,85.0,84.0
02M135 - The Urban Assembly School for Emergency Management,69.0,74.0,94.0,89.0,70.0,86.0,93.0,92.0
02M139 - Stephen T. Mather Building Arts & Craftsmanship High School,73.0,85.0,93.0,88.0,84.0,88.0,97.0,94.0
02M167 - J.H.S. 167 Robert F. Wagner,70.0,80.0,92.0,90.0,72.0,80.0,91.0,88.0
02M177 - Yorkville East Middle School,69.0,78.0,89.0,84.0,69.0,92.0,94.0,87.0
02M217 - P.S./I.S. 217 Roosevelt Island,69.0,81.0,93.0,81.0,72.0,86.0,90.0,88.0
02M225 - Ella Baker School,68.0,84.0,93.0,98.0,82.0,78.0,89.0,92.0
02M255 - M.S. 255 Salk School of Science,82.0,89.0,94.0,83.0,80.0,94.0,96.0,91.0
02M260 - The Clinton School,75.0,82.0,88.0,79.0,69.0,93.0,94.0,88.0
02M276 - Battery Park City School,69.0,79.0,87.0,80.0,65.0,93.0,95.0,83.0
02M280 - Manhattan Early College School for Advertising,80.0,96.0,100.0,97.0,100.0,96.0,100.0,100.0
02M282 - Urban Assembly Maker Academy,76.0,82.0,96.0,92.0,82.0,92.0,97.0,91.0
02M288 - Food and Finance High School,62.0,70.0,93.0,80.0,60.0,81.0,88.0,87.0
02M289 - I.S. 289,67.0,71.0,93.0,81.0,62.0,90.0,92.0,88.0
02M294 - Essex Street Academy,74.0,83.0,96.0,86.0,83.0,90.0,95.0,95.0
02M297 - M.S. 297,66.0,71.0,94.0,76.0,70.0,81.0,92.0,84.0
02M298 - Pace High School,72.0,77.0,91.0,88.0,70.0,87.0,95.0,89.0
"02M300 - Urban Assembly School of Design and Construction, The",73.0,86.0,95.0,95.0,88.0,85.0,93.0,96.0
"02M303 - Facing History School, The",71.0,78.0,92.0,79.0,77.0,82.0,93.0,92.0
"02M305 - Urban Assembly Academy of Government and Law, The",67.0,73.0,92.0,86.0,68.0,83.0,92.0,91.0
02M308 - Lower Manhattan Arts Academy,67.0,71.0,90.0,81.0,64.0,82.0,90.0,88.0
02M312 - New York City Lab Middle School for Collaborative Studies,77.0,86.0,95.0,89.0,73.0,93.0,93.0,88.0
"02M313 - James Baldwin School, The: A School for Expeditionary Learning",70.0,89.0,98.0,97.0,89.0,95.0,97.0,100.0
"02M316 - Urban Assembly School of Business for Young Women, the",66.0,76.0,93.0,85.0,73.0,85.0,90.0,92.0
02M347 - The 47 American Sign Language & English Lower School,67.0,86.0,92.0,94.0,79.0,83.0,90.0,91.0
02M374 - Gramercy Arts High School,59.0,67.0,87.0,75.0,71.0,84.0,90.0,89.0
02M376 - NYC iSchool,79.0,85.0,94.0,92.0,75.0,90.0,95.0,91.0
02M392 - Manhattan Business Academy,68.0,75.0,92.0,84.0,73.0,86.0,88.0,90.0
02M393 - Business Of Sports School,68.0,82.0,91.0,86.0,73.0,81.0,90.0,90.0
02M394 - Emma Lazarus High School,75.0,87.0,95.0,96.0,87.0,96.0,90.0,94.0
02M397 - Spruce Street School,67.0,80.0,90.0,77.0,72.0,90.0,94.0,87.0
02M399 - The High School For Language And Diplomacy,60.0,74.0,92.0,86.0,62.0,84.0,93.0,93.0
02M400 - High School for Environmental Studies,62.0,76.0,92.0,89.0,66.0,88.0,90.0,89.0
02M407 - Institute for Collaborative Education,84.0,77.0,71.0,,85.0,89.0,97.0,97.0
02M408 - Professional Performing Arts High School,74.0,74.0,92.0,75.0,62.0,89.0,89.0,80.0
02M411 - Baruch College Campus High School,79.0,78.0,89.0,85.0,67.0,88.0,93.0,89.0
