Name,Academic Press,Conflict Resolution,Course Clarity,Cultural Awareness and Inclusive Classroom Instruction,Guidance,Inclusive Leadership,Personal Attention and Support,Preventing Bullying,Safety,Social Emotional,Student-Student Trust,Student-Teacher Trust
01M034 - P.S. 034 Franklin D. Roosevelt,53.0,56.0,62.0,83.0,81.0,53.0,62.0,44.0,63.0,48.0,40.0,65.0
01M140 - P.S. 140 Nathan Straus,60.0,54.0,72.0,67.0,50.0,75.0,64.0,36.0,48.0,54.0,69.0,68.0
01M184 - P.S. 184m Shuang Wen,62.0,79.0,76.0,88.0,87.0,84.0,70.0,77.0,87.0,59.0,81.0,80.0
01M188 - P.S. 188 The Island School,99.0,99.0,99.0,100.0,98.0,100.0,99.0,99.0,100.0,97.0,100.0,100.0
01M292 - Orchard Collegiate Academy,66.0,90.0,79.0,95.0,78.0,89.0,69.0,83.0,92.0,67.0,88.0,91.0
01M332 - University Neighborhood Middle School,66.0,82.0,74.0,88.0,88.0,80.0,72.0,60.0,83.0,61.0,58.0,78.0
01M378 - School for Global Leaders,88.0,97.0,90.0,97.0,98.0,97.0,89.0,82.0,93.0,78.0,93.0,93.0
01M448 - University Neighborhood High School,73.0,93.0,83.0,95.0,92.0,98.0,79.0,87.0,91.0,69.0,93.0,92.0
01M450 - East Side Community School,76.0,93.0,87.0,93.0,91.0,94.0,82.0,78.0,92.0,68.0,87.0,89.0
01M458 - Forsyth Satellite Academy,75.0,94.0,90.0,95.0,91.0,97.0,87.0,76.0,94.0,83.0,93.0,94.0
01M515 - Lower East Side Preparatory High School,71.0,95.0,82.0,96.0,91.0,94.0,81.0,85.0,89.0,77.0,90.0,93.0
"01M539 - New Explorations into Science, Technology and Math High School",74.0,85.0,82.0,91.0,88.0,84.0,71.0,87.0,87.0,62.0,95.0,84.0
01M650 - Cascades High School,75.0,94.0,90.0,92.0,96.0,94.0,86.0,95.0,91.0,78.0,92.0,94.0
01M696 - Bard High School Early College,82.0,79.0,83.0,90.0,85.0,74.0,70.0,76.0,82.0,58.0,89.0,85.0
01M839 - Tompkins Square Middle School,68.0,79.0,82.0,92.0,93.0,83.0,72.0,47.0,82.0,63.0,59.0,83.0
02M047 - 47 The American Sign Language and English Secondary School,65.0,75.0,75.0,88.0,78.0,82.0,69.0,80.0,85.0,57.0,85.0,84.0
02M104 - J.H.S. 104 Simon Baruch,62.0,78.0,76.0,88.0,86.0,75.0,68.0,64.0,83.0,62.0,77.0,80.0
02M114 - East Side Middle School,74.0,84.0,82.0,90.0,79.0,86.0,76.0,86.0,94.0,68.0,92.0,84.0
02M126 - P.S. 126 Jacob August Riis,65.0,81.0,77.0,91.0,89.0,86.0,70.0,68.0,84.0,65.0,79.0,83.0
02M131 - M.S. 131,65.0,83.0,75.0,87.0,88.0,88.0,71.0,72.0,82.0,62.0,78.0,82.0
02M135 - The Urban Assembly School for Emergency Management,65.0,74.0,73.0,89.0,79.0,86.0,72.0,68.0,83.0,60.0,77.0,84.0
02M139 - Stephen T. Mather Building Arts & Craftsmanship High School,70.0,91.0,78.0,93.0,84.0,92.0,78.0,74.0,87.0,67.0,87.0,89.0
02M167 - J.H.S. 167 Robert F. Wagner,59.0,67.0,72.0,86.0,83.0,56.0,59.0,52.0,75.0,54.0,63.0,72.0
02M177 - Yorkville East Middle School,66.0,75.0,78.0,87.0,81.0,77.0,73.0,70.0,84.0,62.0,77.0,79.0
02M217 - P.S./I.S. 217 Roosevelt Island,68.0,87.0,78.0,94.0,91.0,81.0,68.0,59.0,86.0,65.0,71.0,85.0
02M225 - Ella Baker School,62.0,80.0,73.0,92.0,90.0,73.0,75.0,64.0,78.0,63.0,70.0,75.0
02M255 - M.S. 255 Salk School of Science,72.0,82.0,84.0,90.0,81.0,76.0,74.0,81.0,86.0,66.0,83.0,85.0
02M260 - The Clinton School,69.0,77.0,73.0,86.0,80.0,73.0,62.0,87.0,89.0,57.0,92.0,76.0
02M276 - Battery Park City School,71.0,81.0,73.0,90.0,71.0,92.0,67.0,81.0,91.0,59.0,84.0,79.0
02M280 - Manhattan Early College School for Advertising,63.0,79.0,73.0,90.0,75.0,83.0,66.0,72.0,86.0,58.0,72.0,80.0
02M282 - Urban Assembly Maker Academy,66.0,86.0,77.0,93.0,80.0,90.0,75.0,76.0,88.0,65.0,85.0,85.0
02M288 - Food and Finance High School,60.0,70.0,67.0,90.0,80.0,77.0,61.0,73.0,78.0,55.0,78.0,80.0
02M289 - I.S. 289,69.0,82.0,78.0,90.0,80.0,82.0,71.0,83.0,87.0,63.0,88.0,84.0
02M294 - Essex Street Academy,67.0,89.0,76.0,92.0,80.0,91.0,74.0,81.0,89.0,66.0,91.0,85.0
02M296 - High School of Hospitality Management,64.0,76.0,73.0,90.0,82.0,85.0,64.0,86.0,80.0,59.0,84.0,82.0
02M297 - M.S. 297,57.0,62.0,63.0,82.0,69.0,62.0,55.0,45.0,66.0,49.0,56.0,66.0
02M298 - Pace High School,65.0,82.0,75.0,90.0,80.0,85.0,66.0,75.0,81.0,59.0,81.0,82.0
"02M300 - Urban Assembly School of Design and Construction, The",71.0,88.0,77.0,88.0,83.0,92.0,76.0,79.0,89.0,66.0,86.0,86.0
"02M303 - Facing History School, The",67.0,88.0,74.0,90.0,79.0,91.0,75.0,81.0,88.0,66.0,87.0,87.0
"02M305 - Urban Assembly Academy of Government and Law, The",69.0,82.0,78.0,89.0,90.0,86.0,69.0,71.0,79.0,56.0,78.0,85.0
02M308 - Lower Manhattan Arts Academy,61.0,75.0,69.0,88.0,77.0,71.0,69.0,68.0,80.0,56.0,76.0,81.0
02M312 - New York City Lab Middle School for Collaborative Studies,71.0,83.0,82.0,88.0,83.0,77.0,68.0,84.0,87.0,61.0,90.0,83.0
"02M313 - James Baldwin School, The: A School for Expeditionary Learning",69.0,95.0,85.0,96.0,94.0,92.0,86.0,85.0,94.0,74.0,81.0,93.0
"02M316 - Urban Assembly School of Business for Young Women, the",78.0,97.0,85.0,98.0,89.0,92.0,81.0,87.0,91.0,79.0,86.0,90.0
02M347 - The 47 American Sign Language & English Lower School,59.0,86.0,80.0,92.0,81.0,69.0,80.0,57.0,82.0,68.0,75.0,86.0
02M374 - Gramercy Arts High School,64.0,72.0,71.0,90.0,64.0,78.0,60.0,73.0,80.0,52.0,82.0,79.0
02M376 - NYC iSchool,80.0,89.0,86.0,94.0,90.0,91.0,82.0,84.0,91.0,66.0,93.0,92.0
02M392 - Manhattan Business Academy,73.0,83.0,83.0,90.0,83.0,87.0,77.0,76.0,86.0,66.0,84.0,85.0
02M393 - Business Of Sports School,63.0,83.0,78.0,88.0,80.0,84.0,69.0,69.0,82.0,60.0,78.0,84.0
02M394 - Emma Lazarus High School,74.0,94.0,86.0,93.0,90.0,91.0,82.0,93.0,88.0,74.0,94.0,93.0
02M397 - Spruce Street School,70.0,77.0,79.0,90.0,77.0,71.0,75.0,83.0,86.0,68.0,87.0,83.0
02M399 - The High School For Language And Diplomacy,58.0,75.0,76.0,91.0,82.0,84.0,66.0,77.0,83.0,62.0,85.0,85.0
02M400 - High School for Environmental Studies,68.0,85.0,79.0,92.0,86.0,87.0,71.0,82.0,89.0,61.0,91.0,86.0
02M408 - Professional Performing Arts High School,67.0,69.0,66.0,87.0,79.0,76.0,59.0,74.0,77.0,55.0,80.0,72.0
02M411 - Baruch College Campus High School,75.0,88.0,77.0,90.0,82.0,88.0,71.0,79.0,90.0,60.0,90.0,85.0
02M412 - N.Y.C. Lab School for Collaborative Studies,76.0,88.0,82.0,90.0,80.0,89.0,76.0,83.0,86.0,64.0,91.0,86.0
02M413 - School of the Future High School,64.0,79.0,74.0,89.0,69.0,72.0,67.0,70.0,83.0,57.0,78.0,78.0
02M414 - N.Y.C. Museum School,67.0,78.0,70.0,90.0,77.0,77.0,60.0,81.0,85.0,54.0,89.0,78.0
02M416 - Eleanor Roosevelt High School,79.0,89.0,80.0,89.0,87.0,87.0,70.0,84.0,94.0,60.0,92.0,86.0
02M418 - Millennium High School,75.0,81.0,74.0,86.0,85.0,68.0,61.0,89.0,90.0,53.0,94.0,81.0
02M419 - Landmark High School,59.0,76.0,69.0,88.0,80.0,83.0,64.0,70.0,80.0,57.0,76.0,79.0
02M420 - High School for Health Professions and Human Services,70.0,85.0,74.0,90.0,83.0,89.0,65.0,74.0,84.0,57.0,88.0,84.0
02M422 - Quest to Learn,65.0,77.0,76.0,88.0,79.0,79.0,70.0,62.0,80.0,60.0,72.0,81.0
02M425 - Leadership and Public Service High School,70.0,90.0,80.0,95.0,90.0,92.0,77.0,79.0,93.0,67.0,91.0,90.0
02M427 - Manhattan Academy For Arts & Language,68.0,77.0,75.0,92.0,88.0,91.0,73.0,77.0,83.0,64.0,72.0,86.0
02M432 - Murray Hill Academy,74.0,89.0,87.0,93.0,87.0,93.0,83.0,86.0,90.0,67.0,88.0,89.0
02M437 - Hudson High School of Learning Technologies,68.0,100.0,90.0,97.0,88.0,100.0,79.0,87.0,100.0,77.0,92.0,97.0
02M438 - International High School at Union Square,67.0,91.0,82.0,94.0,87.0,88.0,81.0,76.0,87.0,71.0,86.0,91.0
02M439 - Manhattan Village Academy,79.0,90.0,83.0,94.0,88.0,89.0,78.0,85.0,90.0,67.0,93.0,90.0
"02M442 - Ballet Tech, NYC Public School for Dance",77.0,85.0,85.0,93.0,90.0,89.0,77.0,87.0,91.0,69.0,90.0,83.0
02M449 - Vanguard High School,64.0,79.0,73.0,91.0,80.0,84.0,71.0,72.0,85.0,61.0,81.0,86.0
02M459 - Manhattan International High School,70.0,91.0,80.0,94.0,88.0,90.0,78.0,86.0,89.0,68.0,91.0,89.0
02M475 - Stuyvesant High School,79.0,85.0,80.0,90.0,84.0,85.0,61.0,87.0,89.0,53.0,96.0,81.0
02M489 - High School of Economics and Finance,65.0,76.0,78.0,90.0,81.0,82.0,68.0,73.0,84.0,58.0,81.0,82.0
02M500 - Unity Center for Urban Technologies,95.0,100.0,95.0,100.0,98.0,99.0,96.0,97.0,97.0,86.0,99.0,99.0
02M507 - Urban Assembly Gateway School for Technology,71.0,86.0,81.0,91.0,86.0,85.0,75.0,78.0,88.0,64.0,89.0,85.0
02M519 - Talent Unlimited High School,68.0,77.0,70.0,87.0,78.0,84.0,62.0,72.0,81.0,55.0,84.0,81.0
02M520 - Murry Bergtraum High School for Business Careers,57.0,69.0,64.0,87.0,65.0,76.0,58.0,73.0,79.0,57.0,72.0,78.0
02M529 - Jacqueline Kennedy Onassis High School,68.0,81.0,72.0,90.0,86.0,94.0,65.0,86.0,88.0,61.0,83.0,82.0
02M531 - Repertory Company High School for Theatre Arts,74.0,79.0,75.0,90.0,85.0,89.0,69.0,81.0,79.0,59.0,86.0,82.0
02M533 - Union Square Academy for Health Sciences,64.0,80.0,76.0,92.0,85.0,92.0,71.0,71.0,80.0,58.0,81.0,85.0
02M534 - Harvest Collegiate High School,69.0,86.0,77.0,91.0,88.0,90.0,72.0,71.0,86.0,61.0,84.0,86.0
02M542 - Manhattan Bridges High School,76.0,86.0,82.0,93.0,87.0,93.0,76.0,80.0,87.0,64.0,87.0,88.0
02M543 - New Design High School,71.0,92.0,81.0,95.0,88.0,95.0,81.0,85.0,89.0,72.0,89.0,91.0
02M545 - High School for Dual Language and Asian Studies,73.0,88.0,85.0,91.0,87.0,87.0,71.0,93.0,85.0,63.0,94.0,87.0
02M546 - Academy for Software Engineering,66.0,81.0,73.0,89.0,81.0,77.0,70.0,66.0,82.0,58.0,78.0,83.0
02M550 - Liberty High School Academy for Newcomers,70.0,90.0,82.0,91.0,86.0,92.0,78.0,74.0,89.0,75.0,88.0,91.0
02M551 - Urban Assembly New York Harbor School,63.0,83.0,71.0,90.0,80.0,89.0,67.0,77.0,88.0,63.0,87.0,80.0
02M560 - High School M560 - City As School,70.0,92.0,84.0,94.0,90.0,96.0,85.0,94.0,92.0,81.0,90.0,94.0
02M565 - Urban Academy Laboratory High School,79.0,92.0,85.0,96.0,92.0,90.0,84.0,84.0,92.0,75.0,91.0,89.0
02M570 - Satellite Academy High School,68.0,91.0,87.0,93.0,91.0,88.0,83.0,91.0,99.0,73.0,96.0,88.0
02M575 - Manhattan Comprehensive Night and Day High School,66.0,95.0,83.0,94.0,90.0,96.0,77.0,89.0,92.0,78.0,92.0,94.0
02M580 - Richard R. Green High School of Teaching,69.0,87.0,76.0,94.0,86.0,93.0,72.0,79.0,91.0,65.0,88.0,85.0
02M586 - Harvey Milk High School,71.0,94.0,85.0,95.0,81.0,92.0,86.0,85.0,92.0,71.0,91.0,94.0
02M600 - The High School of Fashion Industries,64.0,79.0,77.0,92.0,77.0,88.0,66.0,67.0,78.0,58.0,80.0,86.0
