Name,Academic Press,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Classroom Behavior,Cultural Awareness and Inclusive Classroom Instruction,Early Childhood Instruction,Guidance,Innovation and Collective Responsibility,Instructional Leadership,Outreach to Parents,Peer Collaboration,Preventing Bullying,Program Coherence,Quality of Professional Development,Quality of Student Discussion,Safety,School Commitment,Social-Emotional,Strong Core Instruction,Strong Relationships,Teacher Influence,Teacher-Principal Trust,Teacher-Teacher Trust,Two-Way Communication
01M015 - P.S. 015 Roberto Clemente,81.0,,,80.0,97.0,,91.0,96.0,95.0,99.0,96.0,42.0,84.0,86.0,71.0,90.0,88.0,88.0,98.0,,86.0,93.0,96.0,
01M019 - P.S. 019 Asher Levy,87.0,,,82.0,98.0,,100.0,95.0,91.0,100.0,92.0,100.0,81.0,89.0,68.0,96.0,100.0,95.0,98.0,,73.0,93.0,99.0,
01M020 - P.S. 020 Anna Silver,80.0,,,70.0,98.0,,95.0,94.0,94.0,100.0,90.0,58.0,88.0,89.0,64.0,92.0,90.0,94.0,99.0,,85.0,95.0,91.0,
01M034 - P.S. 034 Franklin D. Roosevelt,58.0,,,36.0,91.0,,80.0,73.0,77.0,91.0,80.0,4.0,61.0,83.0,40.0,44.0,61.0,63.0,69.0,,56.0,83.0,89.0,
01M063 - The STAR Academy - P.S.63,86.0,,,80.0,96.0,,100.0,85.0,96.0,94.0,86.0,79.0,76.0,75.0,64.0,96.0,84.0,93.0,95.0,,82.0,98.0,90.0,
01M064 - P.S. 064 Robert Simon,89.0,,,81.0,99.0,,93.0,96.0,99.0,97.0,96.0,69.0,94.0,93.0,79.0,99.0,96.0,92.0,100.0,,86.0,97.0,86.0,
01M110 - P.S. 110 Florence Nightingale,74.0,,,71.0,84.0,,100.0,64.0,86.0,92.0,80.0,65.0,64.0,65.0,63.0,91.0,84.0,81.0,84.0,,65.0,86.0,91.0,
01M134 - P.S. 134 Henrietta Szold,78.0,,,54.0,89.0,,96.0,78.0,80.0,100.0,95.0,27.0,69.0,45.0,61.0,74.0,64.0,71.0,90.0,,66.0,73.0,92.0,
01M140 - P.S. 140 Nathan Straus,71.0,,,45.0,90.0,,96.0,62.0,85.0,94.0,84.0,24.0,78.0,83.0,48.0,77.0,72.0,75.0,89.0,,80.0,86.0,85.0,
01M142 - P.S. 142 Amalia Castro,86.0,100.0,100.0,82.0,98.0,100.0,100.0,92.0,91.0,99.0,95.0,49.0,96.0,89.0,69.0,84.0,87.0,97.0,98.0,100.0,84.0,87.0,87.0,100.0
01M184 - P.S. 184m Shuang Wen,73.0,,,84.0,92.0,,95.0,69.0,85.0,96.0,77.0,68.0,72.0,73.0,70.0,94.0,80.0,76.0,96.0,,64.0,78.0,80.0,
